Time, Vsupply, ia, dca, current, tension, current_case, frequence, inductance_line
0.161, 4.65, 4.645, 0.0, 4.645, 1.897, 0, 1000, 0.0
0.162, 4.65, 4.654, 0.0, 4.654, 1.897, 0, 1000, 0.0
0.163, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.164, 4.65, 4.645, 0.0, 4.645, 1.897, 0, 1000, 0.0
0.165, 4.67, 4.671, 0.0, 4.671, 1.897, 0, 1000, 0.0
0.166, 4.64, 4.642, 0.0, 4.642, 1.897, 0, 1000, 0.0
0.167, 4.63, 4.63, 0.0, 4.63, 1.897, 0, 1000, 0.0
0.168, 4.63, 4.626, 0.0, 4.626, 1.897, 0, 1000, 0.0
0.169, 4.62, 4.625, 0.0, 4.625, 1.897, 0, 1000, 0.0
0.17, 4.64, 4.644, 0.0, 4.644, 1.897, 0, 1000, 0.0
0.171, 4.67, 4.674, 0.0, 4.674, 1.897, 0, 1000, 0.0
0.172, 4.64, 4.643, 0.0, 4.643, 1.897, 0, 1000, 0.0
0.173, 4.66, 4.657, 0.0, 4.657, 1.897, 0, 1000, 0.0
0.174, 4.63, 4.629, 0.0, 4.629, 1.897, 0, 1000, 0.0
0.175, 4.64, 4.641, 0.0, 4.641, 1.897, 0, 1000, 0.0
0.176, 4.65, 4.654, 0.0, 4.654, 1.897, 0, 1000, 0.0
0.177, 4.64, 4.643, 0.0, 4.643, 1.897, 0, 1000, 0.0
0.178, 4.66, 4.661, 0.0, 4.661, 1.897, 0, 1000, 0.0
0.179, 4.66, 4.66, 0.0, 4.66, 1.897, 0, 1000, 0.0
0.18, 4.65, 4.648, 0.0, 4.648, 1.897, 0, 1000, 0.0
0.181, 4.66, 4.659, 0.0, 4.659, 1.897, 0, 1000, 0.0
0.182, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.183, 4.65, 4.646, 0.0, 4.646, 1.897, 0, 1000, 0.0
0.184, 4.62, 4.625, 0.0, 4.625, 1.897, 0, 1000, 0.0
0.185, 4.64, 4.641, 0.0, 4.641, 1.897, 0, 1000, 0.0
0.186, 4.66, 4.655, 0.0, 4.655, 1.897, 0, 1000, 0.0
0.187, 4.66, 4.659, 0.0, 4.659, 1.897, 0, 1000, 0.0
0.188, 4.67, 4.672, 0.0, 4.672, 1.897, 0, 1000, 0.0
0.189, 4.63, 4.626, 0.0, 4.626, 1.897, 0, 1000, 0.0
0.19, 4.62, 4.625, 0.0, 4.625, 1.897, 0, 1000, 0.0
0.191, 4.62, 4.617, 0.0, 4.617, 1.897, 0, 1000, 0.0
0.192, 4.62, 4.616, 0.0, 4.616, 1.897, 0, 1000, 0.0
0.193, 4.66, 4.658, 0.0, 4.658, 1.897, 0, 1000, 0.0
0.194, 4.67, 4.666, 0.0, 4.666, 1.897, 0, 1000, 0.0
0.195, 4.66, 4.659, 0.0, 4.659, 1.897, 0, 1000, 0.0
0.196, 4.66, 4.663, 0.0, 4.663, 1.898, 0, 1000, 0.0
0.197, 4.61, 4.613, 0.0, 4.613, 1.898, 0, 1000, 0.0
0.198, 4.64, 4.642, 0.0, 4.642, 1.898, 0, 1000, 0.0
0.199, 4.65, 4.651, 0.0, 4.651, 1.898, 0, 1000, 0.0
0.2, 4.64, 4.636, 0.0, 4.636, 1.898, 0, 1000, 0.0
0.201, 4.64, 4.64, 0.0, 4.64, 1.898, 0, 1000, 0.0
0.202, 4.64, 4.641, 0.0, 4.641, 1.898, 0, 1000, 0.0
0.203, 4.66, 4.66, 0.0, 4.66, 1.898, 0, 1000, 0.0
0.204, 4.66, 4.663, 0.0, 4.663, 1.898, 0, 1000, 0.0
0.205, 4.66, 4.658, 0.0, 4.658, 1.898, 0, 1000, 0.0
0.206, 4.64, 4.643, 0.0, 4.643, 1.898, 0, 1000, 0.0
0.207, 4.66, 4.663, 0.0, 4.663, 1.898, 0, 1000, 0.0
0.208, 4.63, 4.634, 0.0, 4.634, 1.898, 0, 1000, 0.0
0.209, 4.64, 4.637, 0.0, 4.637, 1.898, 0, 1000, 0.0
0.21, 4.62, 4.625, 0.0, 4.625, 1.898, 0, 1000, 0.0
0.211, 4.63, 4.634, 0.0, 4.634, 1.898, 0, 1000, 0.0
0.212, 4.65, 4.648, 0.0, 4.648, 1.898, 0, 1000, 0.0
0.213, 4.6, 4.604, 0.0, 4.604, 1.898, 0, 1000, 0.0
0.214, 4.67, 4.666, 0.0, 4.666, 1.898, 0, 1000, 0.0
0.215, 4.65, 4.645, 0.0, 4.645, 1.898, 0, 1000, 0.0
0.216, 4.66, 4.656, 0.0, 4.656, 1.898, 0, 1000, 0.0
0.217, 4.63, 4.632, 0.0, 4.632, 1.898, 0, 1000, 0.0
0.218, 4.66, 4.661, 0.0, 4.661, 1.898, 0, 1000, 0.0
0.219, 4.62, 4.622, 0.0, 4.622, 1.898, 0, 1000, 0.0
0.22, 4.64, 4.644, 0.0, 4.644, 1.898, 0, 1000, 0.0
0.221, 4.66, 4.665, 0.0, 4.665, 1.898, 0, 1000, 0.0
0.222, 4.61, 4.606, 0.0, 4.606, 1.898, 0, 1000, 0.0
0.223, 4.64, 4.639, 0.0, 4.639, 1.898, 0, 1000, 0.0
