Time, Vsupply, ia, ib, ic, dca, dcb, dcc, dc_activated
0.293, 17.72, 2.247, 2.016, 0.05, 0.051, 0.0, 0.0, 0
0.294, 17.72, 2.168, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.295, 17.72, 2.142, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.296, 17.72, 2.251, 2.017, 0.05, 0.051, 0.0, 0.0, 0
0.297, 17.72, 2.174, 2.022, 0.05, 0.06, 0.0, 0.0, 0
0.298, 17.72, 2.145, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.299, 17.72, 2.139, 2.015, 0.05, 0.06, 0.0, 0.0, 0
0.3, 17.72, 2.141, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.301, 17.72, 2.256, 2.021, 0.05, 0.054, 0.0, 0.0, 0
0.302, 17.72, 2.241, 2.017, 0.05, 0.054, 0.0, 0.0, 0
0.303, 17.72, 2.194, 2.016, 0.05, 0.048, 0.0, 0.0, 0
0.304, 17.72, 2.183, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.305, 17.72, 2.152, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.306, 17.72, 2.226, 2.018, 0.05, 0.051, 0.0, 0.0, 0
0.307, 17.72, 1.878, 2.023, 0.05, 0.041, 0.0, 0.0, 0
0.308, 17.72, 2.238, 2.023, 0.05, 0.057, 0.0, 0.0, 0
0.309, 17.72, 2.21, 2.029, 0.05, 0.051, 0.0, 0.0, 0
0.31, 17.72, 2.118, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.311, 17.72, 2.168, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.312, 17.72, 2.18, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.313, 17.72, 2.198, 2.011, 0.05, 0.048, 0.0, 0.0, 0
0.314, 17.72, 2.121, 2.024, 0.05, 0.06, 0.0, 0.0, 0
0.315, 17.72, 2.185, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.316, 17.72, 2.108, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.317, 17.72, 2.129, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.318, 17.72, 2.22, 2.022, 0.05, 0.059, 0.0, 0.0, 0
0.319, 17.72, 2.204, 2.019, 0.05, 0.048, 0.0, 0.0, 0
0.32, 17.72, 2.23, 2.023, 0.05, 0.051, 0.0, 0.0, 0
0.321, 17.72, 2.197, 2.017, 0.05, 0.059, 0.0, 0.0, 0
0.322, 17.72, 2.184, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.323, 17.72, 2.252, 2.019, 0.05, 0.057, 0.0, 0.0, 0
0.324, 17.72, 2.183, 2.018, 0.05, 0.059, 0.0, 0.0, 0
0.325, 17.72, 2.232, 2.018, 0.05, 0.057, 0.0, 0.0, 0
0.326, 17.72, 2.209, 2.019, 0.05, 0.051, 0.0, 0.0, 0
0.327, 17.72, 2.103, 2.011, 0.05, 0.06, 0.0, 0.0, 0
0.328, 17.72, 2.161, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.329, 17.72, 2.211, 2.025, 0.05, 0.048, 0.0, 0.0, 0
0.33, 17.72, 2.158, 2.026, 0.05, 0.06, 0.0, 0.0, 0
0.331, 17.72, 2.176, 2.024, 0.05, 0.06, 0.0, 0.0, 0
0.332, 17.72, 2.126, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.333, 17.72, 2.228, 2.017, 0.05, 0.051, 0.0, 0.0, 0
0.334, 17.72, 2.17, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.335, 17.72, 2.027, 2.027, 0.05, 0.042, 0.0, 0.0, 0
0.336, 17.72, 1.992, 2.027, 0.05, 0.041, 0.0, 0.0, 0
0.337, 17.72, 2.218, 2.02, 0.05, 0.059, 0.0, 0.0, 0
0.338, 17.72, 2.19, 2.016, 0.05, 0.059, 0.0, 0.0, 0
0.339, 17.72, 2.249, 2.03, 0.05, 0.057, 0.0, 0.0, 0
0.34, 17.72, 2.207, 2.022, 0.05, 0.059, 0.0, 0.0, 0
0.341, 17.72, 1.89, 2.02, 0.05, 0.04, 0.0, 0.0, 0
0.342, 17.72, 2.131, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.343, 17.72, 2.177, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.344, 17.72, 2.152, 2.017, 0.05, 0.06, 0.0, 0.0, 0
0.345, 17.72, 2.137, 2.025, 0.05, 0.06, 0.0, 0.0, 0
0.346, 17.72, 2.184, 2.026, 0.05, 0.06, 0.0, 0.0, 0
0.347, 17.72, 2.178, 2.026, 0.05, 0.06, 0.0, 0.0, 0
0.348, 17.72, 2.146, 2.024, 0.05, 0.06, 0.0, 0.0, 0
0.349, 17.72, 2.214, 2.018, 0.05, 0.051, 0.0, 0.0, 0
0.35, 17.72, 2.13, 2.024, 0.05, 0.06, 0.0, 0.0, 0
0.351, 17.72, 2.206, 2.021, 0.05, 0.051, 0.0, 0.0, 0
0.352, 17.72, 2.248, 2.013, 0.05, 0.054, 0.0, 0.0, 0
0.353, 17.72, 2.216, 2.013, 0.05, 0.057, 0.0, 0.0, 0
0.354, 17.72, 2.201, 2.023, 0.05, 0.06, 0.0, 0.0, 0
0.355, 17.72, 2.166, 2.026, 0.05, 0.06, 0.0, 0.0, 0
0.356, 17.72, 2.229, 2.013, 0.05, 0.051, 0.0, 0.0, 0
0.357, 17.72, 1.947, 2.024, 0.05, 0.04, 0.0, 0.0, 0
0.358, 17.72, 2.218, 2.022, 0.05, 0.057, 0.0, 0.0, 0
0.359, 17.72, 2.168, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.36, 17.72, 2.231, 2.018, 0.05, 0.051, 0.0, 0.0, 0
0.361, 17.72, 2.182, 2.022, 0.05, 0.06, 0.0, 0.0, 0
0.362, 17.72, 2.165, 2.02, 0.05, 0.06, 0.0, 0.0, 0
0.363, 17.72, 2.125, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.364, 17.72, 2.165, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.365, 17.72, 2.222, 2.02, 0.05, 0.048, 0.0, 0.0, 0
0.366, 17.72, 2.134, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.367, 17.72, 2.158, 2.011, 0.05, 0.06, 0.0, 0.0, 0
0.368, 17.72, 2.248, 2.023, 0.05, 0.051, 0.0, 0.0, 0
0.369, 17.72, 2.246, 2.025, 0.05, 0.051, 0.0, 0.0, 0
0.37, 17.72, 2.195, 2.022, 0.05, 0.048, 0.0, 0.0, 0
0.371, 17.72, 2.223, 2.013, 0.05, 0.057, 0.0, 0.0, 0
0.372, 17.72, 2.198, 2.016, 0.05, 0.059, 0.0, 0.0, 0
0.373, 17.72, 2.246, 2.013, 0.05, 0.048, 0.0, 0.0, 0
0.374, 17.72, 2.192, 2.025, 0.05, 0.059, 0.0, 0.0, 0
0.375, 17.72, 2.194, 2.028, 0.05, 0.059, 0.0, 0.0, 0
0.376, 17.72, 2.196, 2.016, 0.05, 0.048, 0.0, 0.0, 0
0.377, 17.72, 2.098, 2.019, 0.05, 0.06, 0.0, 0.0, 0
0.378, 17.72, 2.169, 2.023, 0.05, 0.06, 0.0, 0.0, 0
0.379, 17.71, 2.138, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.38, 17.71, 2.133, 2.014, 0.05, 0.06, 0.0, 0.0, 0
0.381, 17.71, 2.203, 2.023, 0.05, 0.059, 0.0, 0.0, 0
0.382, 17.71, 2.178, 2.016, 0.05, 0.06, 0.0, 0.0, 0
0.383, 17.71, 2.129, 2.021, 0.05, 0.06, 0.0, 0.0, 0
0.384, 17.71, 2.17, 2.026, 0.05, 0.06, 0.0, 0.0, 0
0.385, 17.71, 2.005, 2.024, 0.05, 0.04, 0.0, 0.0, 0
0.386, 17.71, 2.267, 2.023, 0.05, 0.054, 0.0, 0.0, 0
0.387, 17.71, 2.227, 2.02, 0.05, 0.057, 0.0, 0.0, 0
0.388, 17.71, 2.219, 2.027, 0.05, 0.059, 0.0, 0.0, 0
0.389, 17.71, 2.262, 2.018, 0.05, 0.054, 0.0, 0.0, 0
0.39, 17.71, 2.213, 2.024, 0.05, 0.057, 0.0, 0.0, 0
0.391, 17.71, 1.969, 2.014, 0.05, 0.04, 0.0, 0.0, 0
0.392, 17.71, 2.157, 2.018, 0.05, 0.06, 0.0, 0.0, 0
0.393, 17.71, 2.125, 2.025, 0.05, 0.06, 0.0, 0.0, 0
0.394, 17.71, 2.155, 2.023, 0.05, 0.06, 0.0, 0.0, 0
0.395, 17.71, 2.119, 2.021, 0.05, 0.06, 0.0, 0.0, 0
